Nom aménageur;SIREN aménageur;Contact aménageur;Nom opérateur;Contact opérateur;Téléphone opérateur;Nom enseigne;ID station itinérance;ID station local;Nom station;Implantation station;Adresse station;Code INSEE commune;Coordonnées;Nombre Points de charge;ID PDC itinérance;ID PDC local;Puissance nominale;Prise type E/F;Prise type 2;Prise type combo ccs;Prise type chademo;Prise type autre;Gratuit;Paiement acte;Paiement CB;Paiement autre;Tarification;Condition accès;Réservation;Horaires;Accessibilité PMR;Restriction gabarit;Station deux roues;Raccordement;Num PDL;Date mise en service;Observations;Date de Mise à Jour;cable_t2_attache;Dernière modification;datagouv dataset id;datagouv resource id;datagouv organization or owner;created_at;consolidated_longitude;consolidated_latitude;consolidated_code_postal;consolidated_commune;consolidated_is_lon_lat_correct;consolidated_is_code_insee_verified;coord;longitude;latitude;point_geo;Nom de la commune ou de l'arrondissement municipal;Code de la commune ou de l'arrondissement;Code EPCI;Nom de l'EPCI;Code Officiel Département;Nom Officiel Département;Code Officiel Région;Nom Officiel Région;code_commune_n
Sparkoh;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PMJNXCMKMNM;MJNXCMKMNM;Frameries, Sparkoh;Voirie;3 Rue De Mons 7080 Frameries;;[3.90284255, 50.42002379];3;FRFR1EFPBE1;FPBE1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-06-08;Autre paiements : compte prépayé.;2023-10-01;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;3.90284255;50.42002379;;;False;False;"3.90284255;50.42002379";3.90284255;50.42002379;50.42002379, 3.90284255;;;;;;;;;
Les cliniques universitaires Saint-Luc (CUSL);;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1POYDVXOV7P5;OYDVXOV7P5;Bruxelles, Parking Odyssée;Voirie;Avenue Mounier 1200 Bruxelles 1200 Bruxelles;;[4.45040266, 50.85124067];10;FRFR1ENEPF1;NEPF1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-10-12;Autre paiements : compte prépayé.;2023-10-03;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.45040266;50.85124067;;;False;False;"4.45040266;50.85124067";4.45040266;50.85124067;50.85124067, 4.45040266;;;;;;;;;
Les cliniques universitaires Saint-Luc (CUSL);;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1POYDVXOV7P5;OYDVXOV7P5;Bruxelles, Parking Odyssée;Voirie;Avenue Mounier 1200 Bruxelles 1200 Bruxelles;;[4.45040266, 50.85124067];10;FRFR1ENHEN1;NHEN1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-10-12;Autre paiements : compte prépayé.;2023-10-03;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.45040266;50.85124067;;;False;False;"4.45040266;50.85124067";4.45040266;50.85124067;50.85124067, 4.45040266;;;;;;;;;
IMCSYS;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PWYZVCJ7RTY;WYZVCJ7RTY;Angleur, Avenue du Pré Aily;Voirie;14 Avenue Du Pré-Aily 4031 Liège;;[5.569035, 50.598908];4;FRFR1ESJUS2;SJUS2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-04-28;Autre paiements : compte prépayé.;2023-09-25;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;5.569035;50.598908;;;False;False;"5.569035;50.598908";5.569035;50.598908;50.598908, 5.569035;;;;;;;;;
LS PROXI TARAVAO 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PGSANUPSRJN;GSANUPSRJN;LS PROXI TARAVAO;Voirie;8 Terre Vaiameamea, Afaahiti, Taravao 98719 TAIARAPU EST;;[-149.319334, -17.7426183];2;FRFR1EUJVZ2;UJVZ2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-19;Autre paiements : compte prépayé.;2023-06-14;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.319334;-17.7426183;;;False;False;"-149.319334;-17.7426183";-149.319334;-17.7426183;-17.7426183, -149.319334;;;;;;;;;
Université de Liège Public;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PFJFJ2RMYHE;FJFJ2RMYHE;Liège, 8 Allée de la Découverte;Voirie;8 Allée De La Découverte 4000 Liège;;[5.55983046, 50.58494308];2;FRFR1ECDAZ1;CDAZ1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-10-14;Autre paiements : compte prépayé.;2023-10-02;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;5.55983046;50.58494308;;;False;False;"5.55983046;50.58494308";5.55983046;50.58494308;50.58494308, 5.55983046;;;;;;;;;
LS PROXI PUNAAUIA 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PJBXZWVVFM5;JBXZWVVFM5;LS PROXI PUNAAUIA;Voirie;8 côté Montagne, Punavai 98717 PUNAAUIA, Tah;;[-149.613263, -17.6226109];2;FRFR1EEMGV2;EMGV2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-19;Autre paiements : compte prépayé.;2023-09-28;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.613263;-17.6226109;;;False;False;"-149.613263;-17.6226109";-149.613263;-17.6226109;-17.6226109, -149.613263;;;;;;;;;
Les cliniques universitaires Saint-Luc (CUSL);;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1POYDVXOV7P5;OYDVXOV7P5;Bruxelles, Parking Odyssée;Voirie;Avenue Mounier 1200 Bruxelles 1200 Bruxelles;;[4.45040266, 50.85124067];10;FRFR1EBGAZ1;BGAZ1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2020-12-10;Autre paiements : compte prépayé.;2023-10-03;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.45040266;50.85124067;;;False;False;"4.45040266;50.85124067";4.45040266;50.85124067;50.85124067, 4.45040266;;;;;;;;;
RESTAURANT GOLDEN LAKE 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PZE3EDDITHO;ZE3EDDITHO;Temae;Voirie;Temae 98728 Moorea;;[-149.775508, -17.4800938];2;FRFR1EJJTE2;JJTE2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-21;Autre paiements : compte prépayé.;2023-07-17;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.775508;-17.4800938;;;False;False;"-149.775508;-17.4800938";-149.775508;-17.4800938;-17.4800938, -149.775508;;;;;;;;;
Carplug;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PVDRSZH3ZTA;VDRSZH3ZTA;Zellik, Sphere Business Park, Doornveld 165;Voirie;Sphere Business Park, Z.3 Doornveld 165 1731 Zellik;;[4.26173312, 50.89170991];1;FRFR1EKMFC1;KMFC1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2023-01-24;Autre paiements : compte prépayé.;2023-02-13;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.26173312;50.89170991;;;False;False;"4.26173312;50.89170991";4.26173312;50.89170991;50.89170991, 4.26173312;;;;;;;;;
Les cliniques universitaires Saint-Luc (CUSL);;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1POYDVXOV7P5;OYDVXOV7P5;Bruxelles, Parking Odyssée;Voirie;Avenue Mounier 1200 Bruxelles 1200 Bruxelles;;[4.45040266, 50.85124067];10;FRFR1EAUZX1;AUZX1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2020-12-10;Autre paiements : compte prépayé.;2023-10-02;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.45040266;50.85124067;;;False;False;"4.45040266;50.85124067";4.45040266;50.85124067;50.85124067, 4.45040266;;;;;;;;;
Résidence Colibri;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PTFESE6AMDD;TFESE6AMDD;Profondeville, Résidence Colibri;Voirie;82 Rue Léopold Crasset 5170 Profondeville;;[4.8082559, 50.3832537];1;FRFR1EMTRU1;MTRU1;22;1;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2023-04-14;Autre paiements : compte prépayé.;2023-10-02;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.8082559;50.3832537;;;False;False;"4.8082559;50.3832537";4.8082559;50.3832537;50.3832537, 4.8082559;;;;;;;;;
Les cliniques universitaires Saint-Luc (CUSL);;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1POYDVXOV7P5;OYDVXOV7P5;Bruxelles, Parking Odyssée;Voirie;Avenue Mounier 1200 Bruxelles 1200 Bruxelles;;[4.45040266, 50.85124067];10;FRFR1ENFFX1;NFFX1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-10-12;Autre paiements : compte prépayé.;2023-10-03;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.45040266;50.85124067;;;False;False;"4.45040266;50.85124067";4.45040266;50.85124067;50.85124067, 4.45040266;;;;;;;;;
Moorea, Salvastore;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PMBSSYTGNDB;MBSSYTGNDB;Moorea, Salvastore;Voirie;PK31 côté montagne Haapiti 98728 MOOREA;;[-149.90543, -17.5275527];2;FRFR1EBAQQ2;BAQQ2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-19;Autre paiements : compte prépayé.;2023-08-29;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.90543;-17.5275527;;;False;False;"-149.90543;-17.5275527";-149.90543;-17.5275527;-17.5275527, -149.90543;;;;;;;;;
LS PROXI PUNAAUIA 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PJBXZWVVFM5;JBXZWVVFM5;LS PROXI PUNAAUIA;Voirie;8 côté Montagne, Punavai 98717 PUNAAUIA, Tah;;[-149.613263, -17.6226109];2;FRFR1EEMGV1;EMGV1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-19;Autre paiements : compte prépayé.;2023-09-23;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.613263;-17.6226109;;;False;False;"-149.613263;-17.6226109";-149.613263;-17.6226109;-17.6226109, -149.613263;;;;;;;;;
COOK'S BAY 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PV8YS06G7V9;V8YS06G7V9;PK10;Voirie;PK10, côté mer, Paopao, 98728 MOOREA, Moorea 98728 Moorea;;[-149.817241, -17.4885483];2;FRFR1EPATK2;PATK2;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-20;Autre paiements : compte prépayé.;2023-09-13;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.817241;-17.4885483;;;False;False;"-149.817241;-17.4885483";-149.817241;-17.4885483;-17.4885483, -149.817241;;;;;;;;;
Les cliniques universitaires Saint-Luc (CUSL);;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1POYDVXOV7P5;OYDVXOV7P5;Bruxelles, Parking Odyssée;Voirie;Avenue Mounier 1200 Bruxelles 1200 Bruxelles;;[4.45040266, 50.85124067];10;FRFR1EBAVA1;BAVA1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2020-12-10;Autre paiements : compte prépayé.;2023-10-03;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.45040266;50.85124067;;;False;False;"4.45040266;50.85124067";4.45040266;50.85124067;50.85124067, 4.45040266;;;;;;;;;
IMCSYS;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PWYZVCJ7RTY;WYZVCJ7RTY;Angleur, Avenue du Pré Aily;Voirie;14 Avenue Du Pré-Aily 4031 Liège;;[5.569035, 50.598908];4;FRFR1ESXKH1;SXKH1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-04-28;Autre paiements : compte prépayé.;2023-09-29;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;5.569035;50.598908;;;False;False;"5.569035;50.598908";5.569035;50.598908;50.598908, 5.569035;;;;;;;;;
Sparkoh;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PMJNXCMKMNM;MJNXCMKMNM;Frameries, Sparkoh;Voirie;3 Rue De Mons 7080 Frameries;;[3.90284255, 50.42002379];3;FRFR1EUFJB1;UFJB1;22;1;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-06-08;Autre paiements : compte prépayé.;2023-10-02;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;3.90284255;50.42002379;;;False;False;"3.90284255;50.42002379";3.90284255;50.42002379;50.42002379, 3.90284255;;;;;;;;;
AN5;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PTVZGHYQVAA;TVZGHYQVAA;Quévy, AN5;Voirie;Rue D'anvers 7041 Quévy;;[4.03269357, 50.37756734];1;FRFR1EYASJ1;YASJ1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-07-05;Autre paiements : compte prépayé.;2023-10-01;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.03269357;50.37756734;;;False;False;"4.03269357;50.37756734";4.03269357;50.37756734;50.37756734, 4.03269357;;;;;;;;;
BUROGEST Office Park;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PBPJA6AA6CA;BPJA6AA6CA;Namur, Avenue des Dessus-de-Lives;Voirie;Avenue Des Dessus De Lives 5101 Namur;;[4.92386007, 50.46182071];4;FRFR1EUMMS1;UMMS1;22;1;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-01-25;Autre paiements : compte prépayé.;2023-10-03;false;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;4.92386007;50.46182071;;;False;False;"4.92386007;50.46182071";4.92386007;50.46182071;50.46182071, 4.92386007;;;;;;;;;
RESTAURANT GOLDEN LAKE 1;;;Freshmile SAS;web@freshmile.com;0369246732;Freshmile;FRFR1PZE3EDDITHO;ZE3EDDITHO;Temae;Voirie;Temae 98728 Moorea;;[-149.775508, -17.4800938];2;FRFR1EJJTE1;JJTE1;22;0;1;0;0;0;0.0;1;1.0;1.0;Payant;Accès libre;0;24/7;Accessibilité inconnue;Inconnu;0;;;2022-12-21;Autre paiements : compte prépayé.;2023-07-17;true;2023-10-09T09:41:48+02:00;633d6db1b1c22bf7d030b81a;d3ebb3b7-7400-4e01-9873-12142572c636;freshmile-1;2023-10-03T09:36:56+02:00;-149.775508;-17.4800938;;;False;False;"-149.775508;-17.4800938";-149.775508;-17.4800938;-17.4800938, -149.775508;;;;;;;;;
